asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
VL-0207,Rasulgarh chamber valve,valve,20.2822,85.8633,4.4,2026-08-16,Anita Sahu,decommissioned,0,"{""bore_mm"": 150, ""material"": ""cast_iron""}"
VL-0208,Laxmisagar outlet valve,valve,20.2668,85.8514,,2026-08-17,Bikash Mohanty,active,5,"{""bore_mm"": 200, ""material"": ""steel""}"
VL-0209,Cuttack Road valve 7,valve,20.2794,85.8568,4.0,2026-08-17,Rina Das,active,2,"{""bore_mm"": 100, ""material"": ""cast_iron""}"
VL-0210,Bomikhal bypass valve,valve,20.2768,85.8460,4.6,2026-08-18,Anita Sahu,active,7,"{""bore_mm"": 150, ""material"": ""steel""}"
VL-0211,Jaydev Vihar valve,valve,20.3108,85.8210,,2026-08-18,JOHN  smith,active,9,"{""bore_mm"": 300, ""material"": ""steel""}"
VL-0212,Khandagiri inlet valve,valve,20.2601,85.7869,6.2,2026-08-19,Bikash Mohanty,active,6,"{""bore_mm"": 200, ""material"": ""cast_iron""}"
MH-0301,  old  town  chamber  ,MANHOLE,20.2674,85.8360,2.1,2026-08-19,Rina Das,active,8,"{""depth_m"": 2.4, ""cover"": ""cast_iron""}"
MH-0302,Patia UG chamber 1,manhole,20.3520,85.8244,,2026-08-20,Anita Sahu,active,5,"{""depth_m"": 2.0, ""cover"": ""concrete""}"
MH-0303,Chandrasekharpur chamber,manhole,20.3288,85.8182,2.4,2026-08-20,Bikash Mohanty,active,3,"{""depth_m"": 2.8, ""cover"": ""cast_iron""}"
MH-0304,Nayapalli UG chamber,manhole,20.2902,85.8233,2.0,2026-08-21,Rina Das,proposed,7,"{""depth_m"": 2.2, ""cover"": ""steel""}"
MH-0305,Saheed Nagar chamber 4,manhole,20.2955,85.8446,2.3,2026-08-21,Anita Sahu,active,6,"{""depth_m"": 2.5, ""cover"": ""cast_iron""}"
MH-0306,Vani Vihar UG chamber,manhole,20.3033,85.8374,,2026-08-22,JOHN  smith,active,4,"{""depth_m"": 1.8, ""cover"": ""concrete""}"
MH-0307,Rasulgarh cable chamber,manhole,20.2804,85.8611,2.6,2026-08-22,Bikash Mohanty,decommissioned,1,"{""depth_m"": 2.1, ""cover"": ""cast_iron""}"
MH-0308,Laxmisagar chamber,manhole,20.2649,85.8490,2.2,2026-08-23,Rina Das,active,9,"{""depth_m"": 2.6, ""cover"": ""steel""}"
MH-0309,Cuttack Road chamber,manhole,20.2775,85.8542,,2026-08-23,Anita Sahu,active,2,"{""depth_m"": 2.0, ""cover"": ""cast_iron""}"
MH-0310,Bomikhal UG chamber,manhole,20.2748,85.8439,2.5,2026-08-24,Bikash Mohanty,active,7,"{""depth_m"": 2.3, ""cover"": ""concrete""}"
TR-0401,  PATIA   250 KVA  UNIT  ,TRANSFORMER,20.3502,85.8205,16.0,2026-08-24,Rina Das,active,8,"{""rating_kva"": 250, ""phase"": 3}"
TR-0402,Chandrasekharpur 100 kVA,transformer,20.3304,85.8176,,2026-08-25,Anita Sahu,active,6,"{""rating_kva"": 100, ""phase"": 3}"
TR-0403,Nayapalli 63 kVA,transformer,20.2933,85.8252,15.2,2026-08-25,JOHN  smith,active,4,"{""rating_kva"": 63, ""phase"": 3}"
TR-0404,Saheed Nagar 250 kVA,transformer,20.2981,85.8466,16.4,2026-08-26,Bikash Mohanty,proposed,9,"{""rating_kva"": 250, ""phase"": 3}"
TR-0405,Vani Vihar 160 kVA,transformer,20.3062,85.8408,,2026-08-26,Rina Das,active,7,"{""rating_kva"": 160, ""phase"": 3}"
TR-0406,Rasulgarh 100 kVA,transformer,20.2835,85.8640,14.8,2026-08-27,Anita Sahu,decommissioned,2,"{""rating_kva"": 100, ""phase"": 3}"
TR-0407,Laxmisagar 63 kVA,transformer,20.2659,85.8522,14.1,2026-08-27,Bikash Mohanty,active,3,"{""rating_kva"": 63, ""phase"": 1}"
TR-0408,Cuttack Road 250 kVA,transformer,20.2800,85.8577,,2026-08-28,Rina Das,active,5,"{""rating_kva"": 250, ""phase"": 3}"
TR-0409,Khandagiri 160 kVA,transformer,20.2594,85.7878,19.0,2026-08-28,Anita Sahu,active,8,"{""rating_kva"": 160, ""phase"": 3}"
TR-0410,Baramunda 315 kVA,transformer,20.2677,85.8064,15.6,2026-08-29,JOHN  smith,active,10,"{""rating_kva"": 315, ""phase"": 3}"
PL-0901,Airport approach pole,pole,102.45,85.8102,12.0,2026-08-29,Rina Das,active,6,"{""height_m"": 9.0, ""material"": ""steel""}"
VL-0902,Museum isolation valve,valve,20.2566,east-of-station,4.0,2026-08-30,Anita Sahu,active,5,"{""bore_mm"": 150, ""material"": ""cast_iron""}"
MH-0305,Saheed Nagar chamber 4 retake,manhole,20.2956,85.8447,2.3,2026-08-30,Bikash Mohanty,active,6,"{""depth_m"": 2.5, ""cover"": ""cast_iron""}"
,Nameless chamber near market,manhole,20.2708,85.8418,2.0,2026-08-31,Rina Das,active,4,"{""depth_m"": 2.0, ""cover"": ""concrete""}"
pl-0910,Lowercase code pole,pole,20.2733,85.8399,11.2,2026-08-31,Anita Sahu,active,7,"{""height_m"": 8.6, ""material"": ""wood""}"
TR-0903,Overrated transformer,transformer,20.2880,85.8330,15.0,2026-09-01,Bikash Mohanty,active,14,"{""rating_kva"": 100, ""phase"": 3}"
PL-0904,Unscored feeder pole,pole,20.2844,85.8288,,2026-09-01,JOHN  smith,active,,"{""height_m"": 9.0, ""material"": ""concrete""}"
VL-0905,Future-dated valve,valve,20.3010,85.8355,4.5,2026-11-02,Rina Das,active,8,"{""bore_mm"": 200, ""material"": ""steel""}"
MH-0906,Broken attributes chamber,manhole,20.3122,85.8220,2.1,2026-09-02,Anita Sahu,active,5,"{depth_m: 2.4,}"
PL-0907,Unknown kind of asset,substation,20.2740,85.8472,13.0,2026-09-02,Bikash Mohanty,active,6,"{""rating_kva"": 500}"
